Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
500;7;0,729600012;multipipette;S1;09/10/2025
250;7;0,452600002;multipipette;S1;09/10/2025
125;7;0,292199999;multipipette;S1;09/10/2025
25;7;0,130600005;multipipette;S1;09/10/2025
0;7;0,111599997;multipipette;S1;09/10/2025
2000;8;2,230799913;multipipette;S1;09/10/2025
1500;8;1,836799979;multipipette;S1;09/10/2025
1000;8;1,338999987;multipipette;S1;09/10/2025
750;8;0,9454;multipipette;S1;09/10/2025
500;8;0,773500025;multipipette;S1;09/10/2025
250;8;0,468400002;multipipette;S1;09/10/2025
125;8;0,290199995;multipipette;S1;09/10/2025
25;8;0,137199998;multipipette;S1;09/10/2025
0;8;0,1105;multipipette;S1;09/10/2025
2000;1;2,682100058;multipipette;S2;09/10/2025
1500;1;2,145499945;multipipette;S2;09/10/2025
1000;1;1,480000019;multipipette;S2;09/10/2025
750;1;1,059100032;multipipette;S2;09/10/2025
500;1;0,781300008;multipipette;S2;09/10/2025
250;1;0,494700015;multipipette;S2;09/10/2025
125;1;0,286199987;multipipette;S2;09/10/2025
25;1;0,125799999;multipipette;S2;09/10/2025
0;1;0,096299998;multipipette;S2;09/10/2025
2000;2;2,403399944;multipipette;S2;09/10/2025
1500;2;2,238800049;multipipette;S2;09/10/2025
1000;2;1,417400002;multipipette;S2;09/10/2025
750;2;1,118800044;multipipette;S2;09/10/2025
500;2;0,777700007;multipipette;S2;09/10/2025
250;2;0,479099989;multipipette;S2;09/10/2025
125;2;0,29370001;multipipette;S2;09/10/2025
25;2;0,1184;multipipette;S2;09/10/2025
0;2;0,087300003;multipipette;S2;09/10/2025
2000;3;2,513999939;multipipette;S2;09/10/2025
1500;3;1,988499999;multipipette;S2;09/10/2025
1000;3;1,493499994;multipipette;S2;09/10/2025
750;3;1,027500033;multipipette;S2;09/10/2025
500;3;0,779100001;multipipette;S2;09/10/2025
250;3;0,489100009;multipipette;S2;09/10/2025
125;3;0,307799995;multipipette;S2;09/10/2025
25;3;0,115999997;multipipette;S2;09/10/2025
0;3;0,090899996;multipipette;S2;09/10/2025
2000;4;2,618499994;multipipette;S2;09/10/2025
1500;4;2,044699907;multipipette;S2;09/10/2025
1000;4;1,364799976;multipipette;S2;09/10/2025
750;4;1,077499986;multipipette;S2;09/10/2025
500;4;0,728299975;multipipette;S2;09/10/2025
250;4;0,454699993;multipipette;S2;09/10/2025
125;4;0,281399995;multipipette;S2;09/10/2025
25;4;0,119800001;multipipette;S2;09/10/2025
0;4;0,0867;multipipette;S2;09/10/2025
2000;5;2,550299883;multipipette;S2;09/10/2025
1500;5;2,305700064;multipipette;S2;09/10/2025
1000;5;1,303599954;multipipette;S2;09/10/2025
750;5;1,025599957;multipipette;S2;09/10/2025
500;5;0,815599978;multipipette;S2;09/10/2025
250;5;0,471799999;multipipette;S2;09/10/2025
125;5;0,296200007;multipipette;S2;09/10/2025
25;5;0,125799999;multipipette;S2;09/10/2025
0;5;0,087899998;multipipette;S2;09/10/2025
2000;6;2,958499908;multipipette;S2;09/10/2025
1500;6;2,168499947;multipipette;S2;09/10/2025
1000;6;1,45570004;multipipette;S2;09/10/2025
750;6;1,044999957;multipipette;S2;09/10/2025
500;6;0,802900016;multipipette;S2;09/10/2025
250;6;0,477800012;multipipette;S2;09/10/2025
125;6;0,309300005;multipipette;S2;09/10/2025
25;6;0,125200003;multipipette;S2;09/10/2025
0;6;0,087499999;multipipette;S2;09/10/2025
2000;7;2,738600016;multipipette;S2;09/10/2025
1500;7;2,066200018;multipipette;S2;09/10/2025
1000;7;1,384199977;multipipette;S2;09/10/2025
750;7;1,042600036;multipipette;S2;09/10/2025
500;7;0,837899983;multipipette;S2;09/10/2025
250;7;0,460799992;multipipette;S2;09/10/2025
125;7;0,304800004;multipipette;S2;09/10/2025
25;7;0,125400007;multipipette;S2;09/10/2025
0;7;0,0902;multipipette;S2;09/10/2025
2000;8;2,883300066;multipipette;S2;09/10/2025
1500;8;2,471600056;multipipette;S2;09/10/2025
1000;8;1,414899945;multipipette;S2;09/10/2025
750;8;1,060500026;multipipette;S2;09/10/2025
500;8;0,828000009;multipipette;S2;09/10/2025
250;8;0,495599985;multipipette;S2;09/10/2025
125;8;0,318399996;multipipette;S2;09/10/2025
25;8;0,129800007;multipipette;S2;09/10/2025
0;8;0,0889;multipipette;S2;09/10/2025
2000;15;2,516700029;singlepipette;S1;10/10/2025
1500;15;2,196000099;singlepipette;S1;10/10/2025
1000;15;1,551100016;singlepipette;S1;10/10/2025
750;15;1,246600032;singlepipette;S1;10/10/2025
500;15;0,895299971;singlepipette;S1;10/10/2025
250;15;0,527999997;singlepipette;S1;10/10/2025
125;15;0,3301;singlepipette;S1;10/10/2025
25;15;0,138600007;singlepipette;S1;10/10/2025
0;15;0,085600004;singlepipette;S1;10/10/2025
2000;16;2,641799927;singlepipette;S1;10/10/2025
